,entry_signal_date,exit_signal_date,entry_fill_date,exit_fill_date,side,rv_entry,rv_exit,hedge_ratio_entry,hedge_ratio_exit,holding_days,gross_pnl,cost,net_pnl,closed_at_end,hy_spread_entry,ig_spread_entry,hy_spread_exit,ig_spread_exit,vol_regime,equity_regime,equity_credit_lag,HYG_vol_21,delta_hy,delta_ig
0,2008-10-09,2008-10-14,2008-10-10,2008-10-15,1,-0.08127938799326395,-0.04159991219327297,1.0910042436920355,1.1130864681956467,3,39679.475799990985,747.6190476190476,38931.85675237194,False,-0.9084062724954426,-0.3222468205627754,-0.8273554171188738,-0.28098935901103445,high,bear,neither,0.5955975750482904,0.08105085537656875,0.04125746155174098
1,2008-10-16,2008-12-19,2008-10-17,2008-12-22,1,-0.08461676060379986,-0.08839792119745815,1.1644499485686917,1.9612993602382425,45,-3781.1605936582946,1414.2857142857142,-5195.446307944008,False,-0.8845506211854596,-0.2856072613467054,-0.9367037504244711,-0.2419474014839067,high,bear,neither,0.6684250402925742,-0.0521531292390115,0.04365985986279869
2,2009-03-12,2009-05-15,2009-03-13,2009-05-18,-1,-0.04729584325563063,0.019560451502965592,1.2803684081475089,2.000437185531709,45,-66856.29475859622,1414.2857142857142,-68270.58047288193,False,-0.9710263165164329,-0.26536895551954104,-0.8207160016281542,-0.1962034162221104,high,bear,neither,0.31450893674579095,0.15031031488827873,0.06916553929743063
3,2009-06-23,2009-07-15,2009-06-24,2009-07-16,1,-0.029555755790126925,-0.005506534423054044,1.8545912545559577,1.764624764897763,15,24049.22136707288,938.0952380952381,23111.126128977645,False,-0.7462081724182326,-0.12986994215806713,-0.7354665300823384,-0.1325232155372048,high,bull,neither,0.130688183987913,0.010741642335894142,-0.0026532733791376772
4,2009-10-08,2009-10-30,2009-10-09,2009-11-02,-1,0.04231721574362346,0.01525155875573414,1.3974773481589988,1.4783128381778836,16,27065.65698788932,953.968253968254,26111.688733921066,False,-0.6496799815915073,-0.10586472446159947,-0.6476301294382109,-0.08996188943170821,low,bull,neither,0.13021089150470136,0.0020498521532964498,0.01590283502989126
5,2010-01-22,2010-01-27,2010-01-25,2010-01-28,1,-0.004763662963640614,0.011772453158361507,2.682308249643709,2.7352220312268405,3,16536.11612200212,747.6190476190476,15788.497074383073,False,-0.6111187154809852,-0.07410135247670949,-0.6131056734457827,-0.0811379968286973,low,bull,neither,0.08525239573145238,-0.001986957964797531,-0.007036644351987809
6,2010-01-29,2010-02-05,2010-02-01,2010-02-08,1,0.007001165867812187,0.003689486804035802,2.7377251588318576,2.7589215185506397,5,-3311.6790637763847,779.3650793650794,-4091.0441431414642,False,-0.6138110330020082,-0.07966228686146888,-0.6376371979873121,-0.08716674674127266,low,bull,neither,0.08447428706788077,-0.023826164985303877,-0.0075044598798037765
7,2010-03-17,2010-04-06,2010-03-18,2010-04-07,1,-0.007470450811869034,-0.0016550512088476799,2.2952604732209125,2.1781161236679436,13,5815.399603021354,906.3492063492063,4909.050396672148,False,-0.5828322705321185,-0.06170169490564128,-0.5680190747479623,-0.05743338153516825,low,bull,neither,0.05841917326335422,0.014813195784156186,0.00426831337047303
8,2010-04-28,2010-05-07,2010-04-29,2010-05-10,1,-0.010838625675983926,-0.0036271072980714747,2.421320674837384,2.3507961759384504,7,7211.518377912452,811.1111111111111,6400.4072668013405,False,-0.5695766566044792,-0.055287909760182406,-0.6118093388554641,-0.07572050261143752,low,bull,neither,0.08120613482320914,-0.042232682250984865,-0.020432592851255114
9,2010-05-20,2010-05-21,2010-05-21,2010-05-24,1,-0.0035059135058748137,-0.008146976837233866,2.337901810468903,2.337779642201836,1,-4641.063331359052,715.8730158730159,-5356.936347232068,False,-0.6565181245700643,-0.09495766827791058,-0.6549781573736193,-0.09232773045793595,low,bear,neither,0.19443171103772616,0.0015399671964450024,0.0026299378199746287
10,2010-05-28,2010-06-02,2010-06-01,2010-06-03,-1,0.010452807033525136,0.005290666520001541,2.26703508357243,2.2335445665662874,2,5162.140513523595,731.7460317460317,4430.394481777563,False,-0.6552331339402981,-0.10146000262953603,-0.642618810538043,-0.09404917559904459,high,bear,neither,0.19680176232807498,0.012614323402255101,0.0074108270304914375
11,2010-06-15,2010-06-22,2010-06-16,2010-06-23,-1,0.013990165402512855,-0.004782090134993422,2.2085574950376436,2.1885161881951163,5,18772.255537506277,779.3650793650794,17992.8904581412,False,-0.6387561959684592,-0.0966532666758294,-0.642894633361937,-0.09019309171200379,high,bear,neither,0.1598252411942463,-0.004138437393477745,0.006460174963825602
12,2010-08-20,2010-09-03,2010-08-23,2010-09-07,1,-0.020701879796879208,-0.005387128408609332,2.1540047747230386,2.2018636821929296,10,15314.751388269877,858.7301587301587,14456.021229539718,False,-0.6549096753678298,-0.08759214724969461,-0.6468449403031699,-0.08984255786645752,high,bear,neither,0.05982727095235219,0.008064735064659989,-0.002250410616762913
13,2010-10-15,2010-11-23,2010-10-18,2010-11-24,-1,0.019125339358671556,0.017573781245188158,2.0713819312548005,1.925663571177088,27,1551.5581134833978,1128.5714285714284,422.9866849119694,False,-0.6319608737315954,-0.09510300544204028,-0.6125249331363014,-0.08786827828963803,low,bull,equity_first,0.04494689251483271,0.019435940595293966,0.007234727152402254
14,2011-01-03,2011-01-26,2011-01-04,2011-01-27,1,-0.0017757132668855258,0.015509199279001185,2.9001208622748416,3.0211959640579433,16,17284.91254588671,953.968253968254,16330.944291918455,False,-0.5510071997521604,-0.0621078774629669,-0.5391828694276388,-0.06531011374204693,low,bull,equity_first,0.04420243419139985,0.01182433032452157,-0.003202236279080027
15,2011-03-16,2011-03-21,2011-03-17,2011-03-22,1,-0.0048445209554511814,-0.001220558351967882,2.829792771104381,2.8036605532399603,3,3623.9626034832995,747.6190476190476,2876.343555864252,False,-0.5515150493288282,-0.06409098296693656,-0.5348158371758599,-0.05951945691938557,low,bull,neither,0.06839267317649014,0.016699212152968324,0.00457152604755099
16,2011-05-02,2011-05-10,2011-05-03,2011-05-11,1,-0.009549805379756027,-0.003060497625024139,2.4235927797818113,2.385103633724831,6,6489.307754731888,795.2380952380952,5694.069659493793,False,-0.5271969225865154,-0.05244046967802171,-0.5328234485212646,-0.057224687499312615,low,bull,neither,0.04203147561350344,-0.005626525934749216,-0.004784217821290904
17,2011-06-16,2011-06-20,2011-06-17,2011-06-21,1,-0.009142319192544601,-2.2385714137596047e-05,2.6932185367008317,2.700227088587397,2,9119.933478407005,731.7460317460317,8388.187446660973,False,-0.5924035950110221,-0.07690001330205502,-0.5758881265315966,-0.07411283977053461,low,bear,neither,0.0883092521277621,0.016515468479425532,0.002787173531520415
