k1,k2,h,net_sharpe,max_dd_return,calmar,ann_return,ann_vol,ann_turnover
1.0,2.0,0.25,0.2056,-0.26747,0.0955,0.025543,0.124239,18.212
1.0,2.0,0.5,0.1801,-0.249108,0.0887,0.022095,0.122654,14.5653
1.0,2.5,0.25,0.153,-0.285209,0.0675,0.019252,0.125818,16.6173
1.0,2.5,0.5,0.1399,-0.277596,0.0625,0.017362,0.124106,13.4771
1.0,3.0,0.25,0.1688,-0.282926,0.0751,0.021242,0.125854,15.8514
1.0,3.0,0.5,0.1464,-0.27229,0.0668,0.018183,0.124212,12.9571
1.5,2.0,0.25,0.1864,-0.333538,0.0747,0.024908,0.133661,14.9678
1.5,2.0,0.5,0.1867,-0.310149,0.0799,0.024788,0.132765,12.3237
1.5,2.5,0.25,0.1338,-0.351442,0.0517,0.018161,0.135702,13.3911
1.5,2.5,0.5,0.1406,-0.338636,0.0559,0.018943,0.134709,11.3019
1.5,3.0,0.25,0.1495,-0.349159,0.0582,0.020317,0.135876,12.6217
1.5,3.0,0.5,0.1505,-0.333331,0.0609,0.020311,0.13496,10.7738
2.0,2.5,0.25,0.1478,-0.339421,0.0619,0.021015,0.142168,11.0204
2.0,2.5,0.5,0.1515,-0.336499,0.0636,0.021407,0.141339,9.4181
2.0,3.0,0.25,0.1714,-0.333838,0.073,0.024382,0.142292,10.251
2.0,3.0,0.5,0.1609,-0.330864,0.069,0.022821,0.141835,8.89
