label,net_sharpe,max_dd,max_dd_return,calmar,ann_return,ann_vol,ann_turnover
baseline,0.2446,-328422.34,-0.328422,0.1297,0.042591,0.174138,5.7529
overlay,0.2025,-338636.43,-0.338636,0.0959,0.032483,0.160394,11.3019
baseline_2015-2018,0.0169,-228008.14,-0.228008,0.0091,0.002078,0.12271,5.6945
baseline_2019-2022,0.1596,-306477.05,-0.306477,0.0946,0.029004,0.18176,5.7379
baseline_2023-end,0.2472,-212793.54,-0.212794,0.1643,0.034953,0.141402,5.8379
overlay_2015-2018,-0.065,-213860.93,-0.213861,-0.0321,-0.006871,0.1057,12.0236
overlay_2019-2022,0.2271,-234333.68,-0.234334,0.1621,0.037996,0.167302,10.6085
overlay_2023-end,0.2194,-207281.66,-0.207282,0.1289,0.026724,0.121813,11.2709
naive_-5%_-10%,0.2298,-231155.15,-0.231155,0.1397,0.032293,0.140536,12.7432
placebo_shuffled_vol,0.267,-254218.81,-0.254219,0.1529,0.038877,0.145597,14.6297
